	Condition1-rep1	Condition1-rep2	Condition1-rep3	Condition2-rep1	Condition2-rep2	Condition2-rep3	Condition3-rep1	Condition3-rep2	Condition3-rep3	Condition4-rep1	Condition4-rep2	Condition4-rep3
Gene1	160	182	218	209	121	123	245	163	171	172	224	128
Gene2	1376	2101	2507	2008	1425	1517	1975	1936	1975	1696	2116	938
Gene3	7735	8872	10677	7886	8500	6451	7712	13173	11921	7397	8722	3385
Gene4	148	183	166	176	140	103	154	136	132	119	196	84
Gene5	1728	1963	2076	1712	1206	1295	1986	1754	1832	1419	2303	966
Gene6	106	NA	232	165	100	136	91	112	182	139	187	45
Gene7	3223	6644	8411	5378	3695	5257	4169	4364	5734	5254	5000	2078
Gene8	625	646	563	582	553	434	728	707	693	524	698	581
Gene9	314	438	470	333	188	177	331	358	349	312	323	149
Gene10	911	892	771	830	784	599	1104	875	951	760	1038	820
Gene11	2817	3605	3371	2665	1877	2344	4048	3515	3885	2990	4366	2102
Gene12	795	998	959	1057	769	697	1037	934	985	868	976	689
Gene13	3	10	14	12	67	5	14	3	8	NA	5	4
Gene14	1452	1549	1262	1598	1183	873	1509	1498	1422	1578	1788	1064
Gene15	471	580	590	508	394	371	594	556	544	414	595	286
Gene16	884	855	1088	945	715	692	922	1040	900	756	1413	652
Gene17	41	28	61	28	41	15	29	38	34	35	55	20
Gene18	314	437	476	416	251	NA	395	380	473	305	361	191
Gene19	159	240	259	215	126	144	221	188	241	179	218	58
Gene20	245	98	483	138	89	51	114	174	206	71	238	106
