	MSG	iNP-MSG	Qcut	iNP-Qcut	SC	iNP-SC
A	0.410606377	0.647184767	0.48838544	0.61938783	0.445773109	0.447993778
A	0.383063728	0.60281609	0.479718552	0.576789778	0.443278337	0.302303879
A	0.40499187	0.513345346	0.412554539	0.517515346	0.326056439	0.405983982
A	0.389259958	0.472275646	0.401473211	0.414154771	0.342828852	0.403474768
A	0.378152603	0.56756637	0.469086767	0.565063292	0.397771429	0.453282811
A	0.375528987	0.622471541	0.491398704	0.578789697	0.383978497	0.313381528
A	0.415734013	0.545836326	0.358871035	0.441921906	0.3208711	0.289969253
A	0.39900796	0.573261427	0.415807347	0.528752841	0.416164829	0.472032489
A	0.455449431	0.697180434	0.48879384	0.624991958	0.468460479	0.531005053
A	0.486788889	0.651313959	0.525726215	0.661262324	0.588486107	0.489134947
A	0.465321357	0.654868863	0.49169334	0.666541163	0.47523646	0.414424649
A	0.457004111	0.589029392	0.519792366	0.518932161	0.454645791	0.469692597
A	0.347864141	0.630973759	0.441404982	0.585022336	0.419092652	0.270750984
A	0.437603376	0.615152275	0.472176883	0.584489173	0.419177871	0.401878622
A	0.437426356	0.557432867	0.456972882	0.493151862	0.460095952	0.112153726
A	0.464071886	0.651068251	0.544510929	0.591438591	0.516951333	0.410040142
A	0.463840654	0.554761319	0.420332478	0.509473811	0.439517326	0.399033294
A	0.374978302	0.515205258	0.458429485	0.547533172	0.396558022	0.458429485
A	0.501989343	0.698728842	0.604824201	0.727026743	0.557066038	0.404608225
A	0.382689122	0.532475098	0.366551681	0.44090923	0.375655088	0.406663559
A	0.422856444	0.612519646	0.461658909	0.563710727	0.427734629	0.388557297
A	0.493883025	0.570188936	0.486723801	0.64298457	0.536667813	0.382730492
A	0.425670025	0.724032007	0.549514642	0.699016377	0.450929599	0.564379764
A	0.350697244	0.464271691	0.373136027	0.422806678	0.350766044	0.335030475
A	0.433353432	0.552272776	0.442362766	0.547804372	0.39675	0.562265292
A	0.453992931	0.5467602	0.474430449	0.607562843	0.517602072	0.471537752
A	0.421817442	0.539893852	0.474031285	0.521479063	0.389848485	0.423622931
A	0.415858889	0.587240872	0.495143509	0.626987508	0.4905	0.256673235
A	0.459122616	0.507798283	0.455492294	0.444775112	0.408846462	0.345206414
A	0.493090205	0.617905045	0.521521255	0.649906977	0.531074712	0.521521255
A	0.456148519	0.536285189	0.391071127	0.543994655	0.442037017	0.260573973
A	0.436055224	0.572058706	0.455376418	0.491217053	0.461117444	0.446212603
A	0.433292112	0.54901671	0.496226099	0.510282466	0.471940205	0.46373336
A	0.473679043	0.589853337	0.479079013	0.533014832	0.456442701	0.440682508
A	0.505414536	0.690012966	0.593470985	0.666010412	0.485973558	0.469655962
A	0.431493483	0.504855668	0.418232025	0.491078494	0.396327544	0.506877204
A	0.601656566	0.849643198	0.699644118	0.712805412	0.656557377	0.647010534
A	0.616727956	0.638413837	0.647821967	0.683079503	0.656675351	0.480568559
A	0.63360436	0.869880599	0.756153488	0.857070143	0.805361007	0.637407786
A	0.671774436	0.817394301	0.777154296	0.809731676	0.759846195	0.751579271
A	0.659782609	0.959968451	0.797502652	0.949818846	0.752541048	0.657522961
A	0.718	0.903138991	0.896140482	0.949410391	0.864695652	0.696376966
A	0.517559313	0.589917794	0.589495485	0.617605204	0.557057875	0.618781055
A	0.551307225	0.704541669	0.658659059	0.639024235	0.507490385	0.575428438
A	0.564381818	0.76854211	0.687479717	0.786060153	0.655516908	0.804638369
A	0.553874206	0.719193338	0.644280942	0.646822116	0.606269148	0.617623148
A	0.636020833	0.8421156	0.691584501	0.845760672	0.702630662	0.691584501
A	0.544170507	0.896296063	0.781667583	0.861425895	0.709786611	0.921902709
A	0.607232632	0.707487353	0.766617254	0.784584291	0.749151515	0.661853359
A	0.602	0.803192289	0.8113617	0.779247557	0.764	0.8113617
A	0.605	0.939033827	0.720155944	0.867462914	0.689	0.795531356
A	0.641	0.741327455	0.728093773	0.773924887	0.773924887	0.483057374
A	0.677418605	0.731786459	0.741989907	0.720510203	0.757035	0.73875932
A	0.646347006	0.739587134	0.682298686	0.730998664	0.694340686	0.677463367
A	0.614883176	0.890898862	0.85757742	0.801049421	0.875315315	0.688067742
A	0.632866451	0.774034267	0.661008087	0.731328176	0.654600241	0.605784996
A	0.603	0.767012449	0.725913536	0.802499927	0.702431177	0.635461117
A	0.590387097	0.711975967	0.637035555	0.75290833	0.669169643	0.637035555
A	0.645351648	0.78199556	0.765957656	0.812937999	0.677081081	0.763439905
A	0.722279245	0.75170401	0.711977403	0.727030968	0.727030968	0.59412104
A	0.550768693	0.696520431	0.646441616	0.654191754	0.617705023	0.441767438
A	0.710127273	0.828623471	0.73565774	0.779208586	0.769148299	0.775620842
A	0.57795698	0.753782095	0.749637557	0.768232008	0.768986209	0.739293684
A	0.612352676	0.815740103	0.596888024	0.801299655	0.705875691	0.570281667
A	0.538	0.830672709	0.79420099	0.936790146	0.822671642	0.79420099
A	0.633153191	0.823163971	0.810296308	0.88841852	0.816641148	0.810296308
A	0.580735661	0.824283682	0.659024741	0.84790522	0.68697678	0.659024741
A	0.575643357	0.843895579	0.749038462	0.8834776	0.660979592	0.748708216
A	0.53614472	0.717313423	0.689728888	0.749814046	0.754141019	0.696213154
A	0.637581882	0.86139034	0.719005471	0.949446289	0.729041667	0.874018888
A	0.596240179	0.595076403	0.75238801	0.75449531	0.70408208	0.716216194
A	0.692	0.913392262	0.926207914	0.903042553	0.903042553	0.926207914
A	0.71001404	0.908795132	0.84150151	0.923069206	0.923069206	0.863705874
A	0.734	0.998014925	0.98448117	1	1	0.98448117
A	0.651	0.944044079	0.845112497	0.876899306	0.851238095	0.863007295
A	0.697	0.731433048	0.700773842	0.914119801	0.70077135	0.82150038
A	0.776011628	0.988291628	0.842727785	0.921025141	0.921025141	0.926583954
A	0.548776614	0.548776614	0.748844741	0.755280899	0.755280899	0.656903292
A	0.776	0.776	0.854	0.776	0.776	0.854
A	0.855987013	0.99605	0.986475316	0.9980125	0.9205	0.986475316
A	0.558264574	0.967276515	0.824821578	0.978580711	0.767458065	0.883076919
A	0.589406593	0.85018268	0.720057357	0.861867385	0.591805497	0.666470578
A	0.625730583	0.867900639	0.83102004	0.838646004	0.838646004	0.83102004
A	0.67764486	0.876823302	0.859160099	0.831245081	0.831245081	0.859160099
A	0.756728407	0.868947629	0.916572474	0.974792383	0.811830586	0.799072333
A	0.667625	0.967383115	0.906610043	0.996029654	0.996029654	0.808165196
A	0.59942332	0.992084722	0.934029412	0.994091912	0.864029412	0.960907617
A	0.719442285	0.797610319	0.829148424	0.679643707	0.780560041	NA
A	0.739442857	0.990175	0.909743544	0.986334722	0.868242718	0.876027088
A	0.784	0.762824457	0.86338806	0.959550958	0.86338806	0.946548644
A	0.659673329	0.632638215	0.825360897	0.886447236	0.821927017	0.742383992
A	0.655722646	0.66752642	0.719006409	0.694	0.694	0.719006409
A	0.730417143	0.784136064	0.897961966	0.832122768	0.932102578	0.897961966
A	0.800827083	0.887983037	0.919247102	0.896951691	0.896951691	0.919247102
A	0.820098765	0.897147546	0.94716013	0.938367089	0.998012658	0.837885056
A	0.728	0.933042553	0.921466098	0.925	0.925	0.921466098
A	0.774	0.866366241	0.831	0.973476611	0.831	0.966248134
A	0.783	0.998009615	0.920358333	0.996046075	0.925019048	0.943152212
A	0.614	0.914176471	0.971986425	1	1	0.971986425
A	0.574	0.912042302	0.742	0.946370861	0.740641711	0.934873457
A	0.788233051	0.750704125	0.844133038	0.856534755	0.85639726	0.844133038
A	0.799807229	0.83265912	0.831806555	0.846854003	0.88359424	0.831806555
A	0.685711111	0.880169884	0.82572711	0.892847866	0.892847866	0.826878687
A	0.743905405	0.743905405	0.84750905	0.876522999	0.876522999	0.799066147
A	0.592739521	0.850080769	0.842768871	0.850611607	0.85060274	0.842768871
A	0.829	0.928	0.926412903	0.955034483	0.955034483	0.926412903
A	0.683882066	0.845985858	0.722190232	0.664788079	0.664788079	0.664015372
A	0.688	0.893703567	0.850304348	0.857	0.857	0.841597619
A	0.739	0.811	0.811	0.811	0.811	0.811
A	0.777	0.777	0.906	0.906	0.906	0.906
A	0.801	0.801	0.902453449	0.801	0.801	0.902453449
A	0.72762807	0.976860053	0.806435611	0.980619514	0.90701087	0.806435611
A	0.79	0.965794872	0.883167796	0.932565254	0.892019048	0.881616717
