EntrezGene.ID	logFC
140828	11.99172957
2162	11.12137192
3170	10.93913758
7033	10.52287349
10216	9.959023113
5265	9.773123066
23209	9.663412348
7044	9.615159938
3169	9.522622702
140902	8.909591089
10699	8.705867809
5308	8.441106608
54738	8.283722632
222894	8.196624729
5996	8.121523632
2153	8.026293001
10351	7.97169898
53832	7.906466766
319089	7.885484386
2020	7.85286379
57057	7.732988557
3371	7.693067068
6572	7.691877483
3172	7.68956197
60482	7.684331923
4688	7.640965157
6493	7.588332742
10418	7.527544923
387758	7.499860149
6492	7.486543677
727897	7.4784977
120237	7.462818395
54101	7.443048908
1634	7.433771806
3676	7.412624591
388630	7.383754773
7291	7.322333837
8929	7.298832897
401	7.269688849
4821	7.249541092
2019	7.21893799
4010	7.198631645
2248	-7.269518609
6503	-7.684204539
5080	-7.946601588
285987	-8.084513795
116933	-8.117448933
10485	-8.494515645
9362	-9.026233799
63974	-9.075696917
10716	-9.25315299
2290	-10.75350582
