Condition1	Condition2	Condition3	Condition4
Gene1	186.666666666667	151	193	174.666666666667
Gene2	1994.66666666667	1650	1962	1583.33333333333
Gene3	9094.66666666667	7612.33333333333	10935.3333333333	6501.33333333333
Gene4	165.666666666667	139.666666666667	140.666666666667	133
Gene5	1922.33333333333	1404.33333333333	1857.33333333333	1562.66666666667
Gene6	158	133.666666666667	128.333333333333	123.666666666667
Gene7	6092.66666666667	4776.66666666667	4755.66666666667	4110.66666666667
Gene8	611.333333333333	523	709.333333333333	601
Gene9	407.333333333333	232.666666666667	346	261.333333333333
Gene10	858	737.666666666667	976.666666666667	872.666666666667
Gene11	3264.33333333333	2295.33333333333	3816	3152.66666666667
Gene12	917.333333333333	841	985.333333333333	844.333333333333
Gene13	9	28	8.33333333333333	5.66666666666667
Gene14	1421	1218	1476.33333333333	1476.66666666667
Gene15	547	424.333333333333	564.666666666667	431.666666666667
Gene16	942.333333333333	784	954	940.333333333333
Gene17	43.3333333333333	28	33.6666666666667	36.6666666666667
Gene18	409	349	416	285.666666666667
Gene19	219.333333333333	161.666666666667	216.666666666667	151.666666666667
Gene20	275.333333333333	92.6666666666667	164.666666666667	138.333333333333
