chr2	169780069	169874592	ABCB11	-	.
chr7	87031263	87104821	ABCB4	-	.
chr10	101542508	101611420	ABCC2	+	.
chr11	17414443	17498311	ABCC8	-	.
chr1	229567333	229568892	ACTA1	-	.
chr1	100316572	100387210	AGL	+	.
chr13	52508917	52585570	ATP7B	-	.
chrX	153170470	153172384	AVPR2	+	.
chr7	140421322	140624511	BRAF	-	.
chrX	100604784	100630322	BTK	-	.
chrX	135730367	135741513	CD40LG	+	.
chrX	18525085	18671749	CDKL5	+	.
chr8	61653977	61778491	CHD7	+	.
chr17	48262860	48267457	COL1A1	-	.
chrX	107683254	107939649	COL4A5	+	.
chr21	47401756	47424671	COL6A1	+	.
